Project Name,Slug,Created On,Updated On,Published On,Sorting Number,Page Title,Meta Description,Project Title,Scope for individual Case Study,Challenge,The Thought,Image 2 Alt Text,Solution,Result,Scope 1,Scope 2,Scope 3,Scope 4
City Fitness,city-fitness,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:08:13 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:08:13 GMT+0000 (Coordinated Universal Time),11,City Fitness Case Study | Ambitious Aotearoa,City Fitness revitalised their digital presence by embracing a new advertising campaign focused on inclusivity.,City Fitness,Advertising | Digital Marketing | Social Media | Art Direction & Copywriting | Design | Film & Photography,"City Fitness is New Zealandâ€™s largest chain of gyms offering fitness enthusiasts a budget-friendly option without skimping on quality. With more competition from affordable gyms in the market, a lack of fresh creative ideas in their digital marketing was beginning to hold them back.",Fitness For Every Body,Mockup of City Fitness Mobile Ads,"Good creative isnâ€™t just reserved for traditional media like print or television. As a digital-first agency we were able to bring smart creative ideas to CityFitnessâ€™ digital media to increase engagement. Even with an unbeatable offer (you donâ€™t get much better than $6.99/week) the gym giantâ€™s display ads were failing to have as much impact as they once did. We decided a new direction was needed â€“ one that positioned CityFitness as a space for every body. New display ads featured a brighter design, photography highlighting the friendly nature of their staff and smiling, happy, real clients. With traction gaining on our new display ads, CityFitness also needed a more considered approach to their social media. Building on the â€˜Fitness for Every Bodyâ€™ idea we created social media calendars that centered strong creative ideas including sharing simple but effective fitness advice and the positive, inclusive spirit the new art direction developed.",,Design,Digital Marketing,Advertising,
Detail Depot,detail-depot,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:07:45 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:07:45 GMT+0000 (Coordinated Universal Time),19,Detail Depot Case Study | Ambitious Aotearoa,"Through digital marketing and web development, we made the made the journey between browsing and purchasing shorter for online e-commerce site Detail Depot. See how.",Detail Depot,Advertising Creation & Ideation | Digital Marketing | Web Development,Our client needed a new website for their e-commerce business that would make it easy for customers to browse their range of car detailing products and streamline the payment process.,For A Showroom Shine,Detail Depot website on mobile phone,"The existing website showcased the brand rather than the products on the home page. This meant traffic arriving on the site would often drop off without making a purchase. The old website also required a plugin for their POS system which was less agile and efficient. We chose to build the new site on Shopify as the platform came with a native POS system and could seamlessly move visitors through the site. Our new design prioritised a Shop Now call to action and highlighted the siteâ€™s most popular items. Brand messaging was moved further down the home page. These small changes made the journey between browsing and purchasing shorter. After completing the site, Detail Depot saw steady growth in online sales, helped by the move to the Shopify platform and with periodic online advertising activity centred around holiday weekends. In the last 12 months, online advertising has contributed to almost $250,000 in sales revenue, generated from 1,600 purchases.",,Digital Marketing,Web Design,,
Fenestra - Branding & Advertising,fenestra-branding-advertising,"Mon, 3 Mar 2025",Tue Apr 15 2025 23:57:20 GMT+0000 (Coordinated Universal Time),Tue Apr 15 2025 23:57:20 GMT+0000 (Coordinated Universal Time),4,Fenestra Branding & Advertising Case Study | Ambitious Aotearoa,Learn how our strategic approach and rebrand established Fenestra as Aotearoa's premium uPVC windows manufacturer.,"Warmer, Healthier Windows For Life",Branding & Visual Identity | Digital Marketing,Our clients were a new business operating in an established industry of uPVC manufacturers. We needed to give our clients a point of difference that would inspire Kiwis to not only upgrade their windows and doors but choose Fenestra as their preferred installer.,"Warmer, Healthier Windows For Life",Art board of Fenestra's logo animation frames,"Europe is known as a producer of well-made, high quality and innovative products. We combined the idea of quality European design with a product manufactured to meet New Zealandâ€™s difficult climate to show how Kiwi homes can benefit from investing in a global standard of insulation â€” uPVC. Our campaign line of â€œwarmer, healthier windows for life,â€ speaks to the longevity of the product. The art direction features bold images of families and individual enjoying their warm, dry homes. We paired it with a colour palette in a nod to the productâ€™s German design roots. The clear imagery and bright colours look distinctly European. Focusing on the human benefit of the product distinctly sets it apart from local competitors. With a refreshed brand, digital marketing and a modern landing page, we showed that with the right joinery, Kiwis can enjoy a European level of comfort in their homes, even in the depths of a New Zealand winter.",,Branding,Digital Marketing,,
Fenestra - Web Design,fenestra-web-design,"Mon, 3 Mar 2025",Tue Apr 15 2025 23:57:07 GMT+0000 (Coordinated Universal Time),Tue Apr 15 2025 23:57:07 GMT+0000 (Coordinated Universal Time),12,Fenestra Web Design Case Study | Ambitious Aotearoa,Learn how we built a custom Craft CMS website that combined a range of visualisation tools with a content-first approach to teach kiwis about the benefits of investing in uPVC.,"Designed in Germany, For New Zealand Conditions",UI/UX Design | Web Design,"Despite being a thermally superior choice, research told us that New Zealanders were not familiar with the benefits of uPVC. While creating a new website for our client Fenestra, we needed to educate New Zealanders about the benefits of using uPVC and positioning the joinery as a superior and stylish option.","Designed in Germany, For New Zealand Conditions",,"Using Craft CMS, we built a new website for Fenestra that presented the benefits of uPVC front and centre. We asked visitors to think about how theyâ€™d like to improve their home through a range of tangible goals like reducing the price of their monthly power bills, making it warmer, and eliminating dampness. The tagline â€˜Designed in Germany, For New Zealand Conditionsâ€™ communicates that modern uPVC can withstanding New Zealandâ€™s harsh weather conditions. We created a range of customised visualisation tools so that visitors could see how the different colours and profile styles might look in a real home. By building the site on Craft CMS we were able to create these image-heavy tools without any compromise to site speed.",,Web Design,,,
Gentle Dental - Branding & Advertising,gentle-dental,"Mon, 3 Mar 2025",Tue Apr 15 2025 23:57:58 GMT+0000 (Coordinated Universal Time),Fri May 09 2025 00:26:26 GMT+0000 (Coordinated Universal Time),6,Gentle Dental Branding & Advertising Case Study | Ambitious Aotearoa,Gentle Dental have grown to four Wellington-based locations using a strategic digital advertising campaign and purpose-built modern website.,Every Smile Tells a Story,Digital Marketing Campaign Management | Campaign Optimisation,"Like many of their competitors, Gentle Dentalâ€™s existing advertising focused on using perfect but generic smiles to draw attention to their services. Our client needed a visual identity that leant into their differentiating factor â€“ that of Wellingtonâ€™s gentlest dental practice.",Every Smileâ€¨Tells a Story,Gentle Dental billboard ad,Our aim was to create a visual identity that felt friendly and approachable while communicating the core benefits of a gentler approach to dentistry. We used an image of a patient wearing an eye mask and reclining in a dentist's chair to show that an appointment at Gentle Dental can be a relaxing experience. A hand-drawn lockup of the tagline â€˜Every Smile Tells a Storyâ€™ and illustrations kept the idea playful. The combination of slick photography and fun visuals resulted in a disruptive visual campaign that still kept the brandâ€™s look professional. Weâ€™ve since used this art direction to promote more of their services â€“ like the time we turned their dental hygienists into dental superheroes.,,Design,Digital Marketing,Advertising,
Gentle Dental - Web Design,gentle-dental-web-design,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:07:39 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:07:39 GMT+0000 (Coordinated Universal Time),7,Gentle Dental Web Design | Ambitious Aotearoa,Since building a custom Craft CMS website Gentle Dental now appears on the first page of Google Search for more than 50 organic keywords. Learn how we did it.,You're in Good Hands,UI/UX Design | Web Development,"Gentle Dental is one of Wellingtonâ€™s largest independent dental clinics. Despite this success, their WordPress website wasnâ€™t performing well in organic search results. The plug-in heavy site was also leaving them vulnerable to cyber-attacks. Our client needed a more secure site and an updated digital strategy to help them perform better in organic search results.",Youâ€™re in Good Hands,,"We developed a fully customised website in-house using Craft CMS. We chose the platform for its fast load times and better security. Since it doesnâ€™t rely on plug-ins for functionality it's a more secure option than WordPress. With the problem of security solved, we turned our attention towards SEO. We started by expanding the number of service pages on the site from just four to nineteen. This allowed us to increase the keyword density on each page and target a wider range of keywords. Since launching their new Craft CMS website Gentle Dental has a modern, secure website. The dental practice now appears on the first page of Google Search for more than 50 organic keywords.",,Web Design,,,
Hāpai Public - Brand,hapai-public-brand,"Tue, 25 Feb 2025",Mon Mar 31 2025 03:35:42 GMT+0000 (Coordinated Universal Time),Mon Mar 31 2025 03:35:50 GMT+0000 (Coordinated Universal Time),1,Hāpai Public Branding | Ambitious Aotearoa,"We transformed the Institute of Public Administrators New Zealand into a diverse, modern and vibrant, new brand. Learn more about our visual identity and naming project for HÄpai Public. ",Uplifting the Public Sector,Branding & Visual Identity | Brand Essence & Strategy,"IPANZ is New Zealandâ€™s independent national body for public sector professionals. To increase engagement with their 50,000-member base they needed a new name and a refreshed brand identity that was more reflective of their membership base.",Uplifting the Public Sector,Public Sector Professional on Her Lunch Break,"To successfully shape the brand identity, we needed to hear more from the organisationâ€™s members. To kick us off we ran a series of research evenings with public professionals who told us they had a deep passion for the work they do and a desire to see the brand be more welcoming, diverse and modern. Under a Te Ao MÄori-led guidance we developed a bilingual name, â€˜HÄpai Public.â€™ The new name weaves together Te Reo and English. In MÄori, â€˜HÄpaiâ€™ means to support, shoulder or lift while â€˜Publicâ€™ is a nod to the organisationâ€™s members and their sector. Youâ€™ll see that the new brand puts members at the centre. We used event and portrait photography to give the brand a humanistic feeling and reflect the increasing diversity of the public sector. We also chose a vibrant colour palette that conveyed energy, optimism and freshness. Pattern design incorporates the weaving of harakeke, symbolising strength and unity. The HÄpai Public logo represents the uplifting of ideas and the coming together of people from all walks of life. The new look is fresh, welcoming and authentic â€“ just what their members were looking for.",,Branding,,,
Hāpai Public - Web Design,hapai-public-web-design,"Mon, 3 Mar 2025",Tue Apr 15 2025 23:55:17 GMT+0000 (Coordinated Universal Time),Tue Apr 15 2025 23:55:17 GMT+0000 (Coordinated Universal Time),3,Hāpai Public Website | Ambitious Aotearoa,"Through fresh storytelling, a vibrant design and improved functionality, HÄpai Publicâ€™s new website is inspiring deeper engagement from public service professionals. See how. ",Promoting a Stronger Public Sector,UI/UX Design | Web Development,HÄpai Public is New Zealandâ€™s independent national body for public sector professionals. The site needed to clearly inform public servants of their membership status (as many simply didnâ€™t know they were members) and simplify the activation process. It also needed to improve the overall user experience while incorporating HÄpai Publicâ€™s fresh new brand identity.,Promoting a Stronger Public Sector,HÄpai Public website on desktop computer,"Public servants are a passionate lot. To highlight the benefits of membership, we showcased real stories from existing members on the Home Page. Visitors to the site can explore how becoming a HÄpai Public member has helped their peers deepen their understanding of the sector, build confidence, and advance their career. We used our newly created, vibrant colour pallet to bring attention to the user's current membership status. Now, in just two clicks, they can check if their organisation is listed in the Member Directory and either activate their membership or join as an individual. Through research sessions we learnt that public servants were interested in engaging more with the site but were very time poor. When designing the sitemap, we focused on improving usability by streamlining the user experience. Key resources, such as events and updates, are accessible from the homepage and navigation while the journey from event to registration is faster. Fresh storytelling, a vibrant design and improved functionality across the site has helped to inspire deeper engagement from both existing and new members.",,Web Design,,,
Ingerson - Branding & Advertising,ingerson-branding-advertising,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:07:26 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:07:26 GMT+0000 (Coordinated Universal Time),23,Ingerson Web Design Case Study | Ambitious Aotearoa,"In a competitive property market, Ingerson Home Loans & Insurance needed help to look the part. See how art direction and brand design come together into a modern, professional brand.",With You All The Way,Art Direction & Advertising Design | Brand Design | Digital Marketing,"Ingerson is a Wellington-based home loans and insurance broker. The company came to us for help with creating a more professional brand. In a competitive property market, they were looking for a more approachable look that would appeal to first home buyers, investors and families trying to get on the property ladder.",With You All The Way,Ingerson website on desktop computer,"Ingerson have a genuine care for the wellbeing and livelihood of their clients. We wanted to create a brand that captured the warmth and professionalism of their team and reflected their mission of helping their clients create wealth and keep it protected for generations to come. We started by creating a new logo mark. A spiral design in the shape of the house is reminiscent of a maze. It reflects Ingersonâ€™s role in guiding their clients through what is often a difficult process. A copper inspired orange offsets a modern blue and a classic dark navy. The colour palette is modern, classic and warm. The art direction is where the brand truly shines. We combined photography, customised patterns and illustrations to create a unique look. The photography is relatable, warm and human and centres on growing families.",,Branding,Digital Marketing,Advertising,
LG Creative,lg-creative,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:07:07 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:09:27 GMT+0000 (Coordinated Universal Time),10,LG Creative Case Study | Ambitious Aotearoa,Standing out from the crowd can be hard for small businesses. Discover how Ambitious transformed LG Creativeâ€™s branding from small signage business to artisan studio.,LG Creative,Branding Strategy | UI/UX Design | Web Design,Our client came to us for help with growing their business beyond word of mouth. We needed to develop a web solution that would increase their brand presence and help them compete in search results.,From Design to Sign,Man browsing LG Creative website on iPad,"We began with a brand essence framework to articulate the tangible and emotional benefits of the brand. This process identified a range of ways the business could differentiate themselves from their competitors including their dedication to quality materials, their industry experience and their approach to partnering with clients. The core idea for the brand messaging became â€˜From Design to Sign.â€™ We used this essence statement as a building block for the website UI/UX and content. Using Craft CMS, we built out a range of individual service pages to help the brand perform better in organic search results. We also developed some animations to communicate their range of services in a fun and engaging way. On the home page, the text â€˜Signage for your storeâ€™ greets incoming visitors. We used a looping animation to replace the last word with additional areas where signage can be applied. Further down the page a secondary animation slides their services across the screen.",,Web Design,,,
"NZ Locums - New Life, New Adventure, New Zealand",nz-locums-new-life-new-adventure-new-zealand,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:07:21 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:09:27 GMT+0000 (Coordinated Universal Time),2,"NZ Locums New Life, New Adventure, New Zealand | Ambitious Aotearoa",We told overseas doctors what they might expect from an exciting new adventure working in New Zealand. Discover the advertising ideation and art direction that brought this campaign to life.,"New Life, New Adventure, New Zealand",Advertising Creation & Ideation | Art Direction & Copywriting | Digital Marketing Campaign Management | Film | UI/UX Design & Web Development,"In early 2025, we continued our partnership with Hauora Taiwhenua, New Zealandâ€™s Rural Health Network, recruiting doctors to live and work in New Zealand. We continued to leverage the original campaign line of â€˜New Life, New Adventure, New Zealandâ€™ to build consistency and brand recognition on our second campaign. Our new challenge: finding a fresh new way to entice overseas doctors to our shores.","New Life, New Adventure, New Zealand","NZ Locums digital advertising for 'New Life, New Adventure, New Zealand' campaign","What better way to get doctors to move to Aotearoa than to hear from those whoâ€™ve already made the leap? To spark interest overseas, we launched a testimonial campaign featuring rural doctors sharing their experiences and showcasing what drew them to New Zealand. We visited doctors stationed in some of New Zealandâ€™s most beautiful settings, from the rugged beaches of Oamaru to the serene shores of Lake TaupÅ. Travelling to these communities, we learnt what makes their lives here so rewarding. Their stories captured a uniquely Kiwi lifestyleâ€”filled with outdoor adventure, tranquillity, and, most importantly, more time with family. To bring these stories to life, we created a slick landing page that hosts a visual library of over a dozen personal stories. A digital advertising campaign then shared these firsthand accounts of â€˜our doctorsâ€™ speaking directly to their curious peers.",,Advertising,Digital Marketing,Design,Web Design
