Project Name,Slug,Created On,Updated On,Published On,Sorting Number,Page Title,Meta Description,Project Title,Scope for individual Case Study,Challenge,The Thought,Image 2 Alt Text,Solution,Result,Scope 1,Scope 2,Scope 3,Scope 4
NZ Locums - Your New Adventure Starts Here,nz-locums-your-new-adventure-starts-here,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:07:17 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:09:27 GMT+0000 (Coordinated Universal Time),5,NZ Locums Case Study | Ambitious Aotearoa,NZ Locums have transformed New Zealand's doctor recruitment with a campaign that highlights the adventure and beauty of Aotearoa.,Your New Adventure Starts Here,Brand Essence & Strategy | Advertising Ideation | Advertising Creation,"Hauora Taiwhenua, New Zealandâ€™s Rural Health Network, was tasked with recruiting doctors to live and work in New Zealand. Faced with competition from other markets like Australia and the UK that can offer higher salaries, and less isolation, we needed to understand what we can tell them about New Zealand that might invite their interest.",Your New Adventure Starts Here,Journal Cover for NZ Locums Advertising Campaign,"Weâ€™re a nation of adventurers, and for curious expats, thereâ€™s no greater wonderland than good old Aotearoa. We decided to leverage the millions of dollars that have been spent advertising New Zealand to the world with a campaign line of â€œNew Life. New Adventure. New Zealand.â€ The art direction features images of doctors in their daily environment (okay, I think the model might have been an electrician, but he looked the part) paired carefully with adventurous snapshots that showed the excitement our potential recruits could find in their time off. The split screen effect immediately captures the audienceâ€™s attention with visually disruptive appeal, and the headlines help to tell the story. Across Print Media, Digital Advertising and a slick landing page, we told doctors what they might expect from an exciting new adventure.",,Advertising,Design,Digital Marketing,
PitchDeck,pitchdeck,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:07:01 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:09:27 GMT+0000 (Coordinated Universal Time),16,PitchDeck Case Study | Ambitious Aotearoa,"See how through branding and visual identity and a new web design, Ambitious transformed PitchDeckâ€™s incoming leads process and nurture more prospects toward booking a call.",PitchDeck,Art Direction & Copywriting | Branding & Visual Identity | Web Design & Development,Pitch Deck came to us as a new business looking for help with their digital marketing strategy. They needed to create a way of getting ambitious founders to book in for a pitch review with their team of experts.,Get Investor Ready,PitchDeck website on desktop computer,"We decided to leverage their range of digital resources to nurture prospects toward booking a pitch review call. We started by building an automated email campaign to help prospects become more familiar with the brand. The emails shared a range of helpful free resources, tips and content designed to help familiarise prospects with the brand and establish Pitch Deck as authorities in their industry. We built a small website for the brand to help direct interested traffic off email and into the booking process. Keeping the site small was key to keeping prospects focused when they visited the site. Video testimonials, case studies and the teamâ€™s prior experience in investor relations helped to give further gravitas to this new endeavour.",,Branding,Design,Web Design,
Reilly Investment Group,reilly-investment-group,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:06:56 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:09:27 GMT+0000 (Coordinated Universal Time),20,Reilly Investment Group Case Study | Ambitious Aotearoa,Boutique strategic wealth management firm Reilly Financial have connected with customers with their sleek and easy-to-use Webflow website.,Reilly Investment Group,Web Design & Development | Content | Copywriting | Design | Brand,"Reilly Financial are a boutique strategic wealth management company based in Western Australia. A lack of knowledge about the tax, insurance and finance possibilities available to them left many clients feeling uneasy about their financial future.","Finally, Financial Clarity",Reilly Investment Group website on desktop computer,"While clients primarily came to Reilly for advice on a specific product, like tax, insurance or wealth management advice, most clients had a secondary motivation â€” to gain a deeper understanding of their finances as a whole. To address this problem, we decided to build a brand-new website that gave clients a sense of confidence when choosing a strategic partner. We upgraded the Reilly site from an off the shelf template to a fully customised site built in-house on Webflow. The headline â€œFinally, Financial Clarity,â€ invites new visitors to invisage a whole new level of financial empowerment â€” one thatâ€™s built around comprehensive financial advice and a personal approach to wealth management. Combined with a calm but modern colour palette of pink, yellow and light blue, the site invites customers to take their first step towards financial clarity.",,Design,Web Design,,
Supertec,supertec,"Mon, 3 Mar 2025",Tue Apr 15 2025 23:54:20 GMT+0000 (Coordinated Universal Time),Tue Apr 15 2025 23:54:20 GMT+0000 (Coordinated Universal Time),9,Supertec Case Study | Ambitious Aotearoa,"Learn how Ambitious created branding and identity that communicated the unique benefits of New Zealandâ€™s most powerful investment administration tool, Supertec.",Supertec,Branding & Strategy | Brand Design | UI/UX Design | Web Design,Supertec is New Zealandâ€™s most powerful investment administration tool. Our client came to us to generate brand messaging and visual identity. The new brand needed to communicate the unique benefits of their in-house software tool.,"Manage Your Members, Simply, Efficiently",Supertec social media advertising on Instagram,"Our process began with a brand essence framework. We identified the unique selling propositions that would help differentiate their brand from its competitors. We also identified brand archetypes to help define Supertecâ€™s unique personality and tone of voice. The core essence statement of the brand became â€˜manage your members, simply efficientlyâ€™ articulating the message that the product makes streamlining, managing and processing tasks that much easier. We brought this idea through into the visual identity by developing a logomark using simple shapes to represent the concepts of simplicity and efficiency. Automation, customisation and agility are represented through a visual system of squares, arrows and circles using solid colours and small groupings of shapes. A palette of bright orange, yellow, vibrant blue and purple was chosen to represent technology, innovation and modernisation. The wider brand system situated these colours and shapes on a black background giving the overall brand a contemporary, elevated feeling.",,Branding,Web Design,,
Te Tiriti Is Us,te-tiriti-is-us,"Mon, 3 Mar 2025",Tue Apr 15 2025 23:53:02 GMT+0000 (Coordinated Universal Time),Tue Apr 15 2025 23:53:02 GMT+0000 (Coordinated Universal Time),8,Te Tiriti Is Us Case Study | Ambitious Aotearoa,"Ambitious Aotearoa and not-for-profit 'Te Tiriti Is Us' launched a clever, funny campaign pushing back against the ACT Party's Treaty Principles legislation.",Te Tiriti Is Us,Art Direction & Copywriting | Film & Voiceover | UI/UX Design | Web Design,"Te Tiriti is Us, a not-for-profit project opposed to the ACT Party's Treaty Principles legislation, reached out to us for help with their campaign. They had a grass roots movement with a lot of steam behind them, but they were having problems reaching a broad audience with such a delicate political subject.",Remember the 70s?,Te Tiriti Is Us website on desktop computer,We put together a funny ad featuring kiwi comedy star (and New Zealand's favourite vampire) Cori Gonzalez-Macuer. The campaign compares David Seymours Treaty Principles with other bad ideas like mullets and Palmerston North (sorry palmy). Humour helps us connect. The campaign was featured in The New Zealand Herald and even David Seymour said he thought it was funny.,,Advertising,Web Design,,
Thinkcap - Branding & Advertising,thinkcap,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:06:44 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:09:27 GMT+0000 (Coordinated Universal Time),17,Thinkcap Case Study | Ambitious Aotearoa,"Through strategic digital marketing, we created a seamless online experience that boosted leads and increased traffic for leading commercial finance brokerage, ThinkCap.",Thinkcap,Advertising Design & Art Direction | Copywriting | Digital Marketing,ThinkCap is a leading commercial finance brokerage based in Australia. Our client came to us for help with their digital marketing. We needed to find a way to make SMEs who were looking for funding engage with their services.,Fund Your Ambition,Woman scrolling Thinkcap website on mobile phone,"We started by generating a list of keywords to effectively target small business owners in the transport industry. We developed a strategic campaign using Google search and display ads to target organic search. The art direction was brought in line with the brandâ€™s target audience. Display ads used photography that focused on trade-based services and combined with simplified copy, spoke to ThinkCapâ€™s fast and simple process for applying for funding. The art direction was applied across a range of collateral including social media posts and blog images. This created consistency across the brand and ensured we were creating a seamless experience across all their digital channels. To help nurture leads through the buying process, we built a responsive landing page to send traffic to a form where visitors could apply for loan services in less than two minutes.",,Branding,Digital Marketing,Web Design,Advertising
Thinkcap - Web Design,thinkcap-web-design,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:06:38 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:09:27 GMT+0000 (Coordinated Universal Time),22,Thinkcap Web Design Case Study | Ambitious Aotearoa,"Through smart UX design and a customised, responsive design built on Webflow see how we increased engagement and traffic to this leading commercial finance brokerage.",We Make Business Lending Fast and Easy,UI/UX Design | Web Development,"ThinkCap is a leading commercial finance brokerage based in Australia. With tough competition in the financial market from other lenders, our client needed a way to increase engagement and drive more organic traffic to their site.",We Make Business Lending Fast and Easy,Man scrolling Thinkcap website on his mobile phone,"ThinkCap needed a website that would appeal more to their customers and sell their wide range of services. We built the site on Webflow, allowing us to customise the site exactly as we liked. We started by creating a wireframe and expanding their service pages from just four to 20. This would help increase on-page SEO, provide education about their range of products and ensure that their multiple audiences were catered to. The new website also incorporates the existing brand to its full potential. We update the site with vibrant and engaging photography related to construction, transportation and heavy machinery. Bringing it all together, a mega menu now makes navigating the 20 service pages a breeze. Expanding the service pages has helped increase traffic, particularly with organic search while a refreshed art direction is more engaging for customers in the transport, logistics and manufacturing industries.",,Web Design,,,
Treasured Morning - Branding & Advertising,treasured-morning,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:03:30 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:09:27 GMT+0000 (Coordinated Universal Time),13,Treasured Morning Branding & Advertising Case Study | Ambitious Aotearoa,Treasured Morning's Taranaki inspired art direction and product packaging make health-conscious breakfast choices easy and delicious.,Seriously Good Superfoods,Branding & Visual Identity | Photography | Print Design,"Treasured Morning is a high protein Superfood brand. After choosing a new name, we needed to create a brand identity that would help relaunch the company and share their mission with their customers.",Seriously Good Superfoods,Treasured Morning billboard advertising,"Getting enough protein in your morning bowl of cereal doesnâ€™t have to be boring. In fact, the right morning routine can set your mood for the rest of the day. With a new business name and tag line of â€œfood that inspiresâ€ we designed a new brand focusing on how health-conscious humans can use Superfoods as a source of inspiration to fuel their day. By focusing on the concept of inspiration, the brand is accessible to a wide audience, including dedicated healthy eaters and those just beginning their wellness journey. The art direction takes inspiration from the landscape of Taranaki, where these healthy creations are made. Combined with a delicate colour palette found in a morning sunrise. Across new packaging design, logo and brand design we communicated the idea that Superfoods are an essential part of your morning me-time.",,Branding,Design,Advertising,
Treasured Morning - Web Design,treasured-morning-web-design,"Mon, 3 Mar 2025",Tue Apr 15 2025 23:53:50 GMT+0000 (Coordinated Universal Time),Tue Apr 15 2025 23:53:50 GMT+0000 (Coordinated Universal Time),21,Treasured Morning Web Design Case Study | Ambitious Aotearoa,"See how we used Shopify and a new print campaign to help one superfood company promote their subscription service to more than 70,000 customers.",Wellness Your Way,UI/UX Design | Web Development,"Treasured Morning is a high protein Superfood brand. With a new brand identity, the company needed a modern website to showcase their superfoods, share their mission and promote their subscription service to their customers.",Wellness Your Way,Treasured Morning website on mobile phone,"We chose to build a new ecommerce website using Shopify. This platform made it easy for our client to add new products and process orders on the back end. Throughout the site we used slick photography of the product to help associate the superfoods with a healthy inspirational yet attainable lifestyle. Glossy, staged food photography helped to communicate the many ways the Superfoods can be used. Product photography showed the Superfoods out of the packed, bringing attention to the whole food ingredients and breathing life into the product. We launched the new website along with the brandâ€™s first ever print campaign in Healthy Food Guide â€“ New Zealandâ€™s premier healthy eating magazine with 70,000 subscribers.",,Web Design,,,
Urban Hub - Branding & Advertising,urban-hub-branding-advertising,"Mon, 3 Mar 2025",Tue Apr 15 2025 23:56:46 GMT+0000 (Coordinated Universal Time),Tue Apr 15 2025 23:56:46 GMT+0000 (Coordinated Universal Time),18,Urban Hub Branding & Advertising Case Study | Ambitious Aotearoa,Urban Hub stands out from Wellington's coworking market with a people-centric rebrand and user-friendly website.,Where Wellington Goes to Work,Brand Essence & Strategy | Copywriting & Art Direction | Photography,"Urban Hub needed a point of difference to attract more clients to their coworking and service office space in central Wellington. With several competitors in town, including global and national chains, we needed a fresh way to attract people to their space.",Where Wellington Goes to Work,Urban Hub billboard advertising,"Freelancers, satellite teams and contractors are looking for workspaces that are friendly, collaborative and familiar. Rather than showing perfectly staged offices we focused on creating a range of illustrations that capture the essence of Urban's Hub work environment in a universal and relatable way. Short playful animations gave the illustrations a sense of vibrancy and created a sense of atmosphere. A bold colour palette was chosen to further communicate the warmth and friendliness of the spaces and help to differentiate Urban Hubâ€™s five services from one another.",,Branding,Digital Marketing,,
Urban Hub - Web Design,urban-hub-web-design,"Mon, 3 Mar 2025",Tue Apr 15 2025 23:56:05 GMT+0000 (Coordinated Universal Time),Tue Apr 15 2025 23:56:05 GMT+0000 (Coordinated Universal Time),15,Urban Hub Web Design Case Study | Ambitious Aotearoa,We used Craft CMS and a variety of interactive illustrative design solutions to help visitors find their ideal office space at Urban Hub Wellington. Learn more.,Workplace Problems Sorted,Illustration | UI/UX Design | Web Development,Urban Hub are a coworking and serviced office provider based in central Wellington. Our client needed a new website that would allow prospective customers to compare their range of services more easily.,Workplace Problems Sorted,Urban Hub website on iPad,"Urban Hubâ€™s new website uses functional and design elements to simplify their five services. Built on Craft CMS, we developed five distinct illustrations, each representing one of their key offerings. Each service was also associated with a unique color, allowing visitors to quickly differentiate between each type of office space. On the home page we used tabs to help visitors explore Urban Hubâ€™s most popular services. The web copy is simple and focuses on price and team size. Throughout the site, we created a variety of interactive pages to help simplify the comparison process. On the Solutions page visitors can click through a series of tabs for a side-by-side comparison of office spaces that are suitable for small teams, large teams or freelancers. Finally, we built a customised quiz to streamline the decision-making process even further.",,Web Design,,,
WellyFun,wellyfun,"Mon, 3 Mar 2025",Tue Mar 04 2025 22:03:34 GMT+0000 (Coordinated Universal Time),Tue Mar 04 2025 22:09:27 GMT+0000 (Coordinated Universal Time),14,WellyFun Case Study | Ambitious Aotearoa,See how we helped WellyFun streamline their booking process and move patrons from exploring to enquiring with smart UX decisions and modern website development.,WellyFun,Branding & Visual Identity | Design | Copywriting | Print Design | Strategy,"As Wellingtonâ€™s premier destination for organised entertainment and events, Wellington Entertainment Group are highly trained in the art of engagement. They needed a way to display their range of activities, events and equipment in a way that was playful while still appealing to both private and corporate clients. While their existing brand and website used colour to convey their sense of fun, their overall look was busy and confusing. A more modern approach was needed.",Serious About Fun,WellyFun Sugarwoods poster advertising,"Before revisiting their brand design, we developed a new name and tag line to help patrons quickly identify their brand value. Their new name WellyFun is both shorter and easier to say while the tagline â€˜Serious about funâ€™ combines a sense of playfulness and professionalism. An entirely new website was built with the goal of navigating the site easier. New pages were created to help people explore each activity while a Mega Menu displays everything in one place â€” from ideas for teambuilding days to equipment for hire. In keeping with the bright look of the original branding, we used bright blues, pinks and yellows on headings and accents as well as a more readable shade of dark blue. We added unique icons to the Mega Menu and throughout the pages to create a sense of playfulness. Smarter UX decisions help to move patrons from exploring to enquiring. Small barriers â€” like not being able to find pricing easily or the overly complicated booking system â€” were removed in favour of simple solutions. Now, prices are displayed prominently on-page and a single enquiry form is the only step needed to get the party started.",,Branding,Design,Web Design,
Wellington Burger Trail,wellington-burger-trail,"Tue, 21 Apr 2026",Tue Apr 21 2026 01:17:53 GMT+0000 (Coordinated Universal Time),Tue Apr 21 2026 01:38:55 GMT+0000 (Coordinated Universal Time),24,Wellington Burger Trail,,Wellington Buger Trail,Branding & Visual Identity | Digital Marketing | UI/UX Design | Web Design,"Eat, Drink, Play help connect Wellingtonâ€™s hospitality venues with the biggest celebrations in the city. Our client had planned a mayoral-themed burger trail to coincide with Burger Wellington and the upcoming (and hotly contested) mayoral election. We needed to find a way to generate hype and boost participation in this year's burger event.",Vote With Your Tastebuds,,"With Burger Wellington just around the corner, we decided a multi-channel approach was needed. Our OOH approach was to target customers in-store before they had decided what to order. Table talkers and posters were distributed to participating restaurants to bring attention to the campaign. Artwork featuring hand-drawn illustrations and quirky caricatures of our eight mayoral candidates encouraged patrons to â€˜Vote with their tastebuds.â€™ On Facebook, we ran an awareness campaign bringing attention to both the campaign and the prize (a Wellington staycation). Both our digital and OOH media linked to a landing page where burger-fans could cast their vote and enter the draw to win the grand prize. This mixture of digital and traditional media meant we were able to drive awareness and turn interest into entries for this event. ",,Branding & Visual Identity,Digital Marketing,UI/UX Design,Web Design
Epic Party Pass,epic-party-pass,"Tue, 21 Apr 2026",Tue Apr 21 2026 01:43:09 GMT+0000 (Coordinated Universal Time),Tue Apr 21 2026 01:48:35 GMT+0000 (Coordinated Universal Time),25,Epic Party Pass,,Epic Party Pass,Branding & Visual Identity | Digital Marketing | UI/UX Design | Web Design,Epic Hospitalityâ€™s Welly Party Pass gives patrons the ultimate Saturday-night superpower - skipping the queue at any of their Courtenay Place bars. They partnered with us to spread the word.,"Save Time, Skip the Line",,"Our primary objective was to drive awareness and convert weekend partygoers into active purchasers. We launched the campaign with a series of high-impact OOH posters highlighting the passâ€™s core benefits. Addressing everything from tired feet to saving student dollars, the posters were displayed as diptychs â€” featuring vibrant artwork and hand-drawn illustrations that delivered our message with a fun, playful edge. These posters were strategically placed in high-traffic areas near Courtenay Place to capture attention and encourage patrons to book online ahead of the Saturday rush. To catch people at the point of entry, we also produced vinyl-protected posters for each bar to display directly at the front of their queues.","By targeting partygoers at two critical stages of the consideration journey; while planning their night and while waiting in line. The initiative was a resounding success, selling over 200 tickets on its first night alone.",Branding & Visual Identity,Digital Marketing,UI/UX Design,Web Design